book_id,title,author,isbn,isbn13,asin,num_pages,avg_rating,num_ratings,year_pub_ed,text_review_count,genre,publisher,language,title_URL
31,The Once and Future Witches ,"Harrow, Alix E.",316422045,9.78E+12,316422045,517,4.06,70712,2020,10532,Fantasy,Redhook,English,https://www.goodreads.com/book/show/49504061-the-once-and-future-witches
32,Babel: An Arcane History ,"Kuang, R.F.",63021420,9.78E+12,63021420,544,4.25,115021,2022,24266,Fantasy,Harper Voyager,English,https://www.goodreads.com/book/show/57945316-babel
33,All Good People Here ,"Flowers, Ashley",593496477,9.78E+12,593496477,312,3.86,149186,2022,16815,Mystery,Bantam,English,https://www.goodreads.com/book/show/60142750-all-good-people-here
34,You're Not Supposed to Die Tonight ,"Bayron, Kalynn",1547611545,9.78E+12,1547611545,230,3.75,2671,2023,822,Horror,Bloomsbury YA,English,https://www.goodreads.com/book/show/62039227-you-re-not-supposed-to-die-tonight
35,The Perfect Child ,"Berry, Lucinda",,,B07F6C3YYL,371,4.07,91485,2019,8729,Thriller,Thomas & Mercer,English,https://www.goodreads.com/book/show/40886917-the-perfect-child
36,The Good Lie ,"Torre, A.R.",,,B08KH8YT2S,254,4.17,75127,2021,5750,Thriller,Thomas & Mercer,English,https://www.goodreads.com/book/show/56238004-the-good-lie
37,What Lies Between Us ,"Marrs, John",1542017025,9.78E+12,1542017025,363,4.12,54459,2020,6487,Thriller,Thomas & Mercer,English,https://www.goodreads.com/book/show/53142315-what-lies-between-us
38,Run on Red ,"Ihli, Noelle W.",,,B0B4PQF72D,291,3.74,26619,2022,2974,Thriller,Dynamite Books,English,https://www.goodreads.com/book/show/61381555-run-on-red
39,The Gift ,"McFadden, Freida",,,B0BNZZLKKX,53,3.62,11667,2022,953,Thriller,Hollywood Upstairs Publishing,English,https://www.goodreads.com/book/show/63945326-the-gift
40,Keep It In The Family ,"Marrs, John",,,B09Q2WCSMP,380,4.15,13707,2022,1594,Thriller,Thomas & Mercer,English,https://www.goodreads.com/book/show/60109530-keep-it-in-the-family
41,Don't Let Her Stay ,"Sanders, Nicola",,,B0BSCQ3ZX7,283,4.09,26999,2023,2520,Thriller,Independently published,English,https://www.goodreads.com/book/show/80830635-don-t-let-her-stay
42,An Anonymous Girl ,"Hendricks, Greer",1250133734,9.78E+12,1250133734,375,3.81,152997,2019,16362,Thriller,St. Martin's Press,English,https://www.goodreads.com/book/show/39863515-an-anonymous-girl
43,Let Her Be ,"Unger, Lisa",,,B08BTZT8HS,61,3.73,4570,2020,442,Short Stories,Amazon Original Stories,English,https://www.goodreads.com/book/show/54381797-let-her-be
